Time,target_send_rate,increase_size_bytes,total_file_size_bytes,total_dir_size_bytes
256.0000,50.4400,745000.3098,100239249.1554,100239249.1554
257.0000,31.7500,443273.8842,100682523.0396,100682523.0396
258.0000,45.7700,669609.0630,101352132.1026,101352132.1026
259.0000,41.3400,598092.3126,101950224.4152,101950224.4152
260.0000,43.8000,637805.9028,102588030.3180,102588030.3180
261.0000,83.6500,1281133.7814,103869164.0994,103869164.0994
262.0000,32.4800,455058.8118,104324222.9112,104324222.9112
263.0000,41.4200,599383.8114,104923606.7226,104923606.7226
264.0000,69.0600,1045596.6738,105969203.3964,105969203.3964
265.0000,48.3400,711098.4642,106680301.8606,106680301.8606
266.0000,36.0900,513337.6986,107193639.5592,107193639.5592
267.0000,35.5800,505104.3930,107698743.9522,107698743.9522
268.0000,76.8000,1170549.1902,108869293.1424,108869293.1424
269.0000,58.2100,870437.1384,109739730.2808,109739730.2808
270.0000,68.3800,1034618.9334,110774349.2142,110774349.2142
271.0000,10.0000,92147.6268,110866496.8410,110866496.8410
272.0000,21.7600,281997.9618,111148494.8028,111148494.8028
273.0000,26.5400,359165.0202,111507659.8230,111507659.8230
274.0000,22.2500,289908.3924,111797568.2154,111797568.2154
275.0000,41.7900,605356.9938,112402925.2092,112402925.2092
276.0000,47.3600,695277.6030,113098202.8122,113098202.8122
277.0000,56.6100,844607.1606,113942809.9728,113942809.9728
278.0000,60.8900,913702.3506,114856512.3234,114856512.3234
279.0000,42.7000,620047.7934,115476560.1168,115476560.1168
280.0000,61.4700,923065.7178,116399625.8346,116399625.8346
281.0000,35.6400,506073.0174,116905698.8520,116905698.8520
282.0000,57.9600,866401.2042,117772100.0562,117772100.0562
283.0000,38.6500,554665.6626,118326765.7188,118326765.7188
284.0000,42.8500,622469.3538,118949235.0726,118949235.0726
285.0000,41.1300,594702.1278,119543937.2004,119543937.2004
286.0000,33.4300,470395.3608,120014332.5612,120014332.5612
287.0000,35.2000,498969.7734,120513302.3346,120513302.3346
288.0000,39.0500,561123.1572,121074425.4918,121074425.4918
289.0000,44.8000,653949.6390,121728375.1308,121728375.1308
290.0000,47.4800,697214.8512,122425589.9820,122425589.9820
291.0000,63.2100,951155.8182,123376745.8002,123376745.8002
292.0000,62.4300,938563.7040,124315309.5042,124315309.5042
293.0000,69.4600,1052054.1678,125367363.6720,125367363.6720
294.0000,41.0100,592764.8796,125960128.5516,125960128.5516
295.0000,65.3700,986026.2876,126946154.8392,126946154.8392
296.0000,43.7900,637644.4656,127583799.3048,127583799.3048
297.0000,42.9300,623760.8526,128207560.1574,128207560.1574
298.0000,42.2500,612783.1122,128820343.2696,128820343.2696
299.0000,53.7500,798436.0758,129618779.3454,129618779.3454
300.0000,44.4600,648460.7688,130267240.1142,130267240.1142
301.0000,30.1900,418089.6564,130685329.7706,130685329.7706
302.0000,93.2800,1436597.9586,132121927.7292,132121927.7292
303.0000,38.0600,545140.8582,132667068.5874,132667068.5874
304.0000,26.5800,359810.7696,133026879.3570,133026879.3570
305.0000,42.8800,622953.6660,133649833.0230,133649833.0230
306.0000,63.7700,960196.3104,134610029.3334,134610029.3334
307.0000,42.1900,611814.4878,135221843.8212,135221843.8212
